state,city,population,lat,lng,median_income,poverty_rate,percent_completed_hs,share_white,share_black,share_native_american,share_asian,share_hispanic
CO,Trinidad,8148.0,37.175,-104.4908,43819.0,16.9,84.1,81.5,0.9,2.6,0.9,50.0
CO,Valdez,12.0,37.1239,-104.6794,,0.0,78.6,76.6,0.0,2.1,0.0,61.7
CO,Watkins,643.0,39.6971,-104.5787,115250.0,0.0,93.8,90.2,1.8,0.5,1.2,9.6
CO,Westminister,4178.0,,,,,,,,,,
CO,Westminster,112812.0,39.8837,-105.0624,67081.0,9.0,91.0,82.0,1.4,0.9,5.4,20.7
CT,Ansonia,18813.0,41.3443,-73.0689,43305.0,19.0,87.5,77.6,11.6,0.3,1.9,16.7
CT,Bolton,4884.0,,,,,,,,,,
CT,Bridgeport,938406.0,41.1918,-73.1953,41801.0,22.9,75.6,39.6,34.6,0.5,3.4,38.2
CT,Danbury,177177.0,41.4016,-73.471,66676.0,12.0,82.5,68.2,7.2,0.4,6.8,25.0
CT,East Hartford,49872.0,,,48369.0,15.4,84.0,51.3,26.0,0.4,5.7,25.8
CT,Fairfield,62045.0,,,,,,,,,,
CT,Hartford,914751.0,41.7661,-72.6834,30630.0,33.4,70.6,29.8,38.7,0.6,2.8,43.4
CT,Manchester,57584.0,,,54958.0,14.0,91.9,72.3,13.6,0.4,4.2,14.7
